Current i(seed) in script: 1
The number of training patients: 369
The number of testing patients: 125
Multi gpu status: True
[Train] Avg. tumor_core: 0.81
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.79
[Val] Avg. enhancing: 0.80
[Val] Avg. Loss: 0.20

# Epoch 22 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.82
[Train] Avg. enhancing: 0.81
[Train] Avg. Loss: 0.19
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.82
[Val] Avg. enhancing: 0.83
[Val] Avg. Loss: 0.18

# Epoch 23 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.82
[Train] Avg. enhancing: 0.80
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.81
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.19

# Epoch 24 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.81
[Train] Avg. enhancing: 0.80
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.77
[Val] Avg. enhancing: 0.77
[Val] Avg. Loss: 0.21

# Epoch 25 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.80
[Train] Avg. enhancing: 0.80
[Train] Avg. Loss: 0.21
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.82
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.19

# Epoch 26 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.82
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.83
[Val] Avg. enhancing: 0.80
[Val] Avg. Loss: 0.19

# Epoch 27 #

[Train] Avg. edema: 0.86
[Train] Avg. tumor_core: 0.79
[Train] Avg. enhancing: 0.77
[Train] Avg. Loss: 0.21
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.79
[Val] Avg. enhancing: 0.80
[Val] Avg. Loss: 0.20

# Epoch 28 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.80
[Train] Avg. enhancing: 0.80
[Train] Avg. Loss: 0.21
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.81
[Val] Avg. enhancing: 0.78
[Val] Avg. Loss: 0.19

# Epoch 29 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.84
[Train] Avg. enhancing: 0.80
[Train] Avg. Loss: 0.19
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.82
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.19

# Epoch 30 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.80
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.80
[Val] Avg. enhancing: 0.79
[Val] Avg. Loss: 0.20

# Epoch 31 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.83
[Train] Avg. enhancing: 0.81
[Train] Avg. Loss: 0.18
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.80
[Val] Avg. enhancing: 0.79
[Val] Avg. Loss: 0.19

# Epoch 32 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.84
[Train] Avg. enhancing: 0.81
[Train] Avg. Loss: 0.18
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.83
[Val] Avg. enhancing: 0.82
[Val] Avg. Loss: 0.18

# Epoch 33 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.83
[Train] Avg. enhancing: 0.82
[Train] Avg. Loss: 0.19
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.84
[Val] Avg. enhancing: 0.82
[Val] Avg. Loss: 0.18

# Epoch 34 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.85
[Train] Avg. enhancing: 0.82
[Train] Avg. Loss: 0.18
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.74
[Val] Avg. enhancing: 0.80
[Val] Avg. Loss: 0.22

# Epoch 35 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.83
[Train] Avg. enhancing: 0.80
[Train] Avg. Loss: 0.19
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.82
[Val] Avg. enhancing: 0.82
[Val] Avg. Loss: 0.18

# Epoch 36 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.81
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.19
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.83
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.18

# Epoch 37 #

[Train] Avg. edema: 0.90
[Train] Avg. tumor_core: 0.85
[Train] Avg. enhancing: 0.82
[Train] Avg. Loss: 0.18
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.77
[Val] Avg. enhancing: 0.80
[Val] Avg. Loss: 0.20

# Epoch 38 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.84
[Train] Avg. enhancing: 0.80
[Train] Avg. Loss: 0.18
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.83
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.18

# Epoch 39 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.84
[Train] Avg. enhancing: 0.82
[Train] Avg. Loss: 0.18
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.83
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.18

# Epoch 40 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.82
[Train] Avg. enhancing: 0.82
[Train] Avg. Loss: 0.18
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.84
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.18

# Epoch 41 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.85
[Train] Avg. enhancing: 0.82
[Train] Avg. Loss: 0.18
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.81
[Val] Avg. enhancing: 0.78
[Val] Avg. Loss: 0.19

# Epoch 42 #

[Train] Avg. edema: 0.90
[Train] Avg. tumor_core: 0.86
[Train] Avg. enhancing: 0.82
[Train] Avg. Loss: 0.17
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.82
[Val] Avg. enhancing: 0.80
[Val] Avg. Loss: 0.19

# Epoch 43 #

[Train] Avg. edema: 0.90
[Train] Avg. tumor_core: 0.85
[Train] Avg. enhancing: 0.82
[Train] Avg. Loss: 0.17
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.82
[Val] Avg. enhancing: 0.78
[Val] Avg. Loss: 0.19

# Epoch 44 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.83
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.18
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.81
[Val] Avg. enhancing: 0.79
[Val] Avg. Loss: 0.19

# Epoch 45 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.85
[Train] Avg. enhancing: 0.81
[Train] Avg. Loss: 0.17
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.84
[Val] Avg. enhancing: 0.82
[Val] Avg. Loss: 0.18

# Epoch 46 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.84
[Train] Avg. enhancing: 0.82
[Train] Avg. Loss: 0.19
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.84
[Val] Avg. enhancing: 0.80
[Val] Avg. Loss: 0.18

# Epoch 47 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.83
[Train] Avg. enhancing: 0.82
[Train] Avg. Loss: 0.19
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.83
[Val] Avg. enhancing: 0.82
[Val] Avg. Loss: 0.17

# Epoch 48 #

[Train] Avg. edema: 0.90
[Train] Avg. tumor_core: 0.85
[Train] Avg. enhancing: 0.82
[Train] Avg. Loss: 0.17
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.84
[Val] Avg. enhancing: 0.83
[Val] Avg. Loss: 0.17

# Epoch 49 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.86
[Train] Avg. enhancing: 0.82
[Train] Avg. Loss: 0.17
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.84
[Val] Avg. enhancing: 0.82
[Val] Avg. Loss: 0.17

# Epoch 50 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.82
[Train] Avg. enhancing: 0.80
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.88
[Val] Avg. tumor_core: 0.75
[Val] Avg. enhancing: 0.77
[Val] Avg. Loss: 0.23

Time elapsed: 8282.35 seconds
Saved to: models/20210301-115902_brats20_3d_pre_1_lr_0.001_epochs_50
The number of training patients: 369
The number of testing patients: 125
Multi gpu status: True
[Val] Avg. edema: 0.10
[Val] Avg. tumor_core: 0.00
[Val] Avg. enhancing: 0.00
[Val] Avg. Loss: 0.89

# Epoch 1 #

[Train] Avg. edema: 0.36
[Train] Avg. tumor_core: 0.25
[Train] Avg. enhancing: 0.21
[Train] Avg. Loss: 0.79
[Val] Avg. edema: 0.59
[Val] Avg. tumor_core: 0.43
[Val] Avg. enhancing: 0.33
[Val] Avg. Loss: 0.71

# Epoch 2 #

[Train] Avg. edema: 0.66
[Train] Avg. tumor_core: 0.45
[Train] Avg. enhancing: 0.46
[Train] Avg. Loss: 0.64
[Val] Avg. edema: 0.74
[Val] Avg. tumor_core: 0.41
[Val] Avg. enhancing: 0.49
[Val] Avg. Loss: 0.55

# Epoch 3 #

[Train] Avg. edema: 0.72
[Train] Avg. tumor_core: 0.51
[Train] Avg. enhancing: 0.57
[Train] Avg. Loss: 0.49
[Val] Avg. edema: 0.82
[Val] Avg. tumor_core: 0.62
[Val] Avg. enhancing: 0.63
[Val] Avg. Loss: 0.41

# Epoch 4 #

[Train] Avg. edema: 0.75
[Train] Avg. tumor_core: 0.58
[Train] Avg. enhancing: 0.62
[Train] Avg. Loss: 0.40
[Val] Avg. edema: 0.77
[Val] Avg. tumor_core: 0.57
[Val] Avg. enhancing: 0.52
[Val] Avg. Loss: 0.38

# Epoch 5 #

[Train] Avg. edema: 0.77
[Train] Avg. tumor_core: 0.63
[Train] Avg. enhancing: 0.64
[Train] Avg. Loss: 0.35
[Val] Avg. edema: 0.85
[Val] Avg. tumor_core: 0.60
[Val] Avg. enhancing: 0.69
[Val] Avg. Loss: 0.35

# Epoch 6 #

[Train] Avg. edema: 0.80
[Train] Avg. tumor_core: 0.69
[Train] Avg. enhancing: 0.68
[Train] Avg. Loss: 0.30
[Val] Avg. edema: 0.77
[Val] Avg. tumor_core: 0.62
[Val] Avg. enhancing: 0.65
[Val] Avg. Loss: 0.33

# Epoch 7 #

[Train] Avg. edema: 0.82
[Train] Avg. tumor_core: 0.70
[Train] Avg. enhancing: 0.70
[Train] Avg. Loss: 0.28
[Val] Avg. edema: 0.80
[Val] Avg. tumor_core: 0.72
[Val] Avg. enhancing: 0.67
[Val] Avg. Loss: 0.28

# Epoch 8 #

[Train] Avg. edema: 0.81
[Train] Avg. tumor_core: 0.69
[Train] Avg. enhancing: 0.69
[Train] Avg. Loss: 0.29
[Val] Avg. edema: 0.86
[Val] Avg. tumor_core: 0.69
[Val] Avg. enhancing: 0.66
[Val] Avg. Loss: 0.27

# Epoch 9 #

[Train] Avg. edema: 0.80
[Train] Avg. tumor_core: 0.71
[Train] Avg. enhancing: 0.70
[Train] Avg. Loss: 0.28
[Val] Avg. edema: 0.87
[Val] Avg. tumor_core: 0.72
[Val] Avg. enhancing: 0.75
[Val] Avg. Loss: 0.26

# Epoch 10 #

[Train] Avg. edema: 0.83
[Train] Avg. tumor_core: 0.75
[Train] Avg. enhancing: 0.72
[Train] Avg. Loss: 0.26
[Val] Avg. edema: 0.87
[Val] Avg. tumor_core: 0.76
[Val] Avg. enhancing: 0.73
[Val] Avg. Loss: 0.24

# Epoch 11 #

[Train] Avg. edema: 0.83
[Train] Avg. tumor_core: 0.75
[Train] Avg. enhancing: 0.74
[Train] Avg. Loss: 0.25
[Val] Avg. edema: 0.87
[Val] Avg. tumor_core: 0.77
[Val] Avg. enhancing: 0.74
[Val] Avg. Loss: 0.23

# Epoch 12 #

[Train] Avg. edema: 0.83
[Train] Avg. tumor_core: 0.74
[Train] Avg. enhancing: 0.72
[Train] Avg. Loss: 0.25
[Val] Avg. edema: 0.86
[Val] Avg. tumor_core: 0.72
[Val] Avg. enhancing: 0.73
[Val] Avg. Loss: 0.25

# Epoch 13 #

[Train] Avg. edema: 0.85
[Train] Avg. tumor_core: 0.77
[Train] Avg. enhancing: 0.74
[Train] Avg. Loss: 0.24
[Val] Avg. edema: 0.84
[Val] Avg. tumor_core: 0.70
[Val] Avg. enhancing: 0.72
[Val] Avg. Loss: 0.25

# Epoch 14 #

[Train] Avg. edema: 0.84
[Train] Avg. tumor_core: 0.77
[Train] Avg. enhancing: 0.75
[Train] Avg. Loss: 0.24
[Val] Avg. edema: 0.88
[Val] Avg. tumor_core: 0.74
[Val] Avg. enhancing: 0.75
[Val] Avg. Loss: 0.24

# Epoch 15 #

[Train] Avg. edema: 0.85
[Train] Avg. tumor_core: 0.78
[Train] Avg. enhancing: 0.75
[Train] Avg. Loss: 0.23
[Val] Avg. edema: 0.86
[Val] Avg. tumor_core: 0.75
[Val] Avg. enhancing: 0.77
[Val] Avg. Loss: 0.24

# Epoch 16 #

[Train] Avg. edema: 0.85
[Train] Avg. tumor_core: 0.76
[Train] Avg. enhancing: 0.76
[Train] Avg. Loss: 0.24
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.79
[Val] Avg. enhancing: 0.78
[Val] Avg. Loss: 0.21

# Epoch 17 #

[Train] Avg. edema: 0.86
[Train] Avg. tumor_core: 0.77
[Train] Avg. enhancing: 0.75
[Train] Avg. Loss: 0.23
[Val] Avg. edema: 0.88
[Val] Avg. tumor_core: 0.77
[Val] Avg. enhancing: 0.76
[Val] Avg. Loss: 0.23

# Epoch 18 #

[Train] Avg. edema: 0.86
[Train] Avg. tumor_core: 0.80
[Train] Avg. enhancing: 0.77
[Train] Avg. Loss: 0.22
[Val] Avg. edema: 0.88
[Val] Avg. tumor_core: 0.76
[Val] Avg. enhancing: 0.77
[Val] Avg. Loss: 0.24

# Epoch 19 #

[Train] Avg. edema: 0.85
[Train] Avg. tumor_core: 0.76
[Train] Avg. enhancing: 0.77
[Train] Avg. Loss: 0.23
[Val] Avg. edema: 0.88
[Val] Avg. tumor_core: 0.80
[Val] Avg. enhancing: 0.78
[Val] Avg. Loss: 0.21

# Epoch 20 #

[Train] Avg. edema: 0.86
[Train] Avg. tumor_core: 0.79
[Train] Avg. enhancing: 0.76
[Train] Avg. Loss: 0.23
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.75
[Val] Avg. enhancing: 0.70
[Val] Avg. Loss: 0.24

# Epoch 21 #

[Train] Avg. edema: 0.82
[Train] Avg. tumor_core: 0.77
[Train] Avg. enhancing: 0.74
[Train] Avg. Loss: 0.24
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.80
[Val] Avg. enhancing: 0.79
[Val] Avg. Loss: 0.20

# Epoch 22 #

[Train] Avg. edema: 0.86
[Train] Avg. tumor_core: 0.80
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.22
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.80
[Val] Avg. enhancing: 0.77
[Val] Avg. Loss: 0.21

# Epoch 23 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.79
[Train] Avg. enhancing: 0.77
[Train] Avg. Loss: 0.22
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.79
[Val] Avg. enhancing: 0.78
[Val] Avg. Loss: 0.21

# Epoch 24 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.80
[Train] Avg. enhancing: 0.78
[Train] Avg. Loss: 0.21
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.79
[Val] Avg. enhancing: 0.76
[Val] Avg. Loss: 0.21

# Epoch 25 #

[Train] Avg. edema: 0.86
[Train] Avg. tumor_core: 0.80
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.21
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.82
[Val] Avg. enhancing: 0.79
[Val] Avg. Loss: 0.20

# Epoch 26 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.81
[Train] Avg. enhancing: 0.77
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.80
[Val] Avg. enhancing: 0.80
[Val] Avg. Loss: 0.20

# Epoch 27 #

[Train] Avg. edema: 0.86
[Train] Avg. tumor_core: 0.77
[Train] Avg. enhancing: 0.77
[Train] Avg. Loss: 0.23
[Val] Avg. edema: 0.87
[Val] Avg. tumor_core: 0.73
[Val] Avg. enhancing: 0.70
[Val] Avg. Loss: 0.27

# Epoch 28 #

[Train] Avg. edema: 0.84
[Train] Avg. tumor_core: 0.77
[Train] Avg. enhancing: 0.77
[Train] Avg. Loss: 0.23
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.81
[Val] Avg. enhancing: 0.80
[Val] Avg. Loss: 0.19

# Epoch 29 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.82
[Train] Avg. enhancing: 0.81
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.81
[Val] Avg. enhancing: 0.77
[Val] Avg. Loss: 0.19

# Epoch 30 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.81
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.21
[Val] Avg. edema: 0.88
[Val] Avg. tumor_core: 0.79
[Val] Avg. enhancing: 0.78
[Val] Avg. Loss: 0.21

# Epoch 31 #

[Train] Avg. edema: 0.86
[Train] Avg. tumor_core: 0.80
[Train] Avg. enhancing: 0.77
[Train] Avg. Loss: 0.21
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.80
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.20

# Epoch 32 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.78
[Train] Avg. enhancing: 0.77
[Train] Avg. Loss: 0.22
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.79
[Val] Avg. enhancing: 0.79
[Val] Avg. Loss: 0.21

# Epoch 33 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.79
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.22
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.80
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.20

# Epoch 34 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.81
[Train] Avg. enhancing: 0.80
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.82
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.19

# Epoch 35 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.82
[Train] Avg. enhancing: 0.78
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.82
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.20

# Epoch 36 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.82
[Train] Avg. enhancing: 0.77
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.88
[Val] Avg. tumor_core: 0.80
[Val] Avg. enhancing: 0.79
[Val] Avg. Loss: 0.21

# Epoch 37 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.83
[Train] Avg. enhancing: 0.80
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.74
[Val] Avg. enhancing: 0.75
[Val] Avg. Loss: 0.23

# Epoch 38 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.80
[Train] Avg. enhancing: 0.78
[Train] Avg. Loss: 0.21
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.79
[Val] Avg. enhancing: 0.78
[Val] Avg. Loss: 0.20

# Epoch 39 #

[Train] Avg. edema: 0.89
[Train] Avg. tumor_core: 0.85
[Train] Avg. enhancing: 0.81
[Train] Avg. Loss: 0.18
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.84
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.18

# Epoch 40 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.83
[Train] Avg. enhancing: 0.80
[Train] Avg. Loss: 0.19
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.75
[Val] Avg. enhancing: 0.79
[Val] Avg. Loss: 0.22

